127.0.0.1 - - [02/Aug/2014:20:13:35 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:14:39 +0530] "GET /CanYouDebate/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:14:39 +0530] "GET /CanYouDebate/Login;jsessionid=3A8ED88C168146AA954C29404815837D HTTP/1.1" 200 3842
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:14:39 +0530] "GET /CanYouDebate/resources/ng-resource/js/angular.min.js HTTP/1.1" 200 99122
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:14:39 +0530] "GET /CanYouDebate/resources/ng-resource/js/jquery.min.js HTTP/1.1" 200 93022
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:14:39 +0530] "GET /CanYouDebate/resources/css/login/ui.login.css HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:14:39 +0530] "GET /CanYouDebate/resources/ng-resource/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:14:39 +0530] "GET /CanYouDebate/resources/js/login/app.login.js HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:14:40 +0530] "GET /CanYouDebate/resources/css/login/images/glyphicons-halflings.png HTTP/1.1" 404 579
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:08 +0530] "GET /CanYouDebate HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:08 +0530] "GET /CanYouDebate/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:08 +0530] "GET /CanYouDebate/Login;jsessionid=DF1EE9B5473313376E79B0D399E4F58D HTTP/1.1" 200 3842
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:09 +0530] "GET /CanYouDebate/resources/ng-resource/js/jquery.min.js HTTP/1.1" 200 93022
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:09 +0530] "GET /CanYouDebate/resources/ng-resource/js/angular.min.js HTTP/1.1" 200 99122
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:09 +0530] "GET /CanYouDebate/resources/js/login/app.login.js HTTP/1.1" 200 1983
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:09 +0530] "GET /CanYouDebate/resources/ng-resource/css/bootstrap.min.css HTTP/1.1" 200 109518
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:09 +0530] "GET /CanYouDebate/resources/css/login/ui.login.css HTTP/1.1" 200 1956
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:09 +0530] "GET /CanYouDebate/resources/css/login/images/glyphicons-halflings.png HTTP/1.1" 404 579
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:09 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:14 +0530] "POST /CanYouDebate/AdminHome HTTP/1.1" 200 17153
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:14 +0530] "GET /CanYouDebate/resources/css/layout/ui.layout.css HTTP/1.1" 200 4499
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:14 +0530] "GET /CanYouDebate/resources/ng-resource/css/carousel.css HTTP/1.1" 200 1555
0:0:0:0:0:0:0:1 - - [02/Aug/2014:20:15:14 +0530] "GET /CanYouDebate/resources/ng-resource/css/flicker.css HTTP/1.1" 200 7882
